Date,SZA,Ets,TUV,GCF
2023-01-01,9.94,50.31405246608531,65.28649225999999,0.7706655806489383
2023-01-15,11.9,49.93138700814687,64.68859114,0.7718731561193631
2023-02-15,20.4,47.496261029420815,60.913592721,0.7797317299435278
2023-03-17,31.7,42.343833054775246,53.129466396,0.796993381020729
2023-03-27,35.6,40.05304026915777,49.7572937896,0.8049682211119255
2023-04-10,41.3,36.307473704924476,44.4033455813,0.8176742817373425
2023-04-27,46.8,32.24084480437827,38.816672713219994,0.8305926951177822
2023-05-03,48.7,30.72449489250358,36.79334366042,0.8350557963981698
2023-05-15,51.9,28.057429131836056,33.319295111894,0.8420775120725884
2023-07-10,55.2,25.164703316562374,29.678658712156,0.847905680665253
2023-07-18,53.9,26.320941243955385,31.117565323947005,0.8458547759101094
2023-08-01,50.9,28.90580620692919,34.412294063340006,0.8399848656914457
2023-08-02,50.7,29.07382280891422,34.630104450169995,0.8395534252791288
2023-08-23,44.3,32.59778575967281,38.6473819901,0.8434668554786746
2023-08-29,42.2,59.777400889761054,66.67182134999999,0.8965916886529014
2023-09-13,36.7,39.368888233389896,48.7660874776,0.807300529317088
2023-10-15,24.8,45.7448395268151,58.235459999999996,0.7855152088918865
2023-11-15,15.1,49.16232880890682,63.490278562,0.774328447163741
2023-12-15,9.84,50.33075982003753,65.31308669,0.7706075821975139
